id,followers,following
Psi_HectorCleme,153,447
gerowana69,180,533
MICGeneroVer,1003,3088
edisonburbanoCM,694,1252
e_tatun,123,71
penmargo,4763,4345
QBit001,977,1647
Taibo2,286645,4229
hidalocarmen,13,82
HAYNOMAS15,6,82
normargarita89,636,488
paulseijas,440,784
70Trakatran,433,447
IrvingStark_,235,107
ErickSmith17,520,720
Emmanuel69DFMMS,1535,2003
markusalf,131,870
NataliaGarzn1,958,561
_Rreyes18,694,301
lunademiiiel,471,347
SolBlackie,578,608
CARGAJO7,490,702
whoisbad_,203,608
lestorrat13,36,47
newsLineMexico,15,92
Tuparendy,174,342
InformerGlobal,1218,1238
la_akademia24,80,479
PeterBenua,612,960
losangelespress,3742,1274
molotovmx,26841,23652
cghUNAM,11024,6470
tbravjusticiabc,377,581
TecnoGadged,579,557
mvasquezdlarosa,439,625
beIerofonte,14,67
ZuritaHern,126,323
MayeyaMota,642,1116
kissthesky09,186,618
chuchetsanchez,133,805
noranyman1,740,42
martindezeta,2082,1748
elicitizen,812,707
LaNegraVerdu,2429,256
chavomorales2,2159,1442
aquilesb211,261,1328
MarcoCarrilloGa,279,796
ArribaTweet,1948,768
viktorvkm,732,65
el_jolmash,548,230
GnzalezeKi,36,151
Periodistas132,303,117
10010110Patch,1084,705
YoscelinaR,42,79
Mimi17s,393,1257
RemediosPicazoM,22,65
Luis_Pezweon17,148,582
polo_santafe,631,687
Susanap79224819,12,35
NataliaCarreo7,82,291
eibanosm,112,194
islascrad,45,130
JoshTierz,527,185
AliveUTookThem,23,12
RJMullet,1754,826
Merceditas55,816,801
Alexpadre2014,1309,1441
Cellfaction,2159,2038
half_nomad,289,926
envidiadetodos,13058,12854
__naranjo_l,1339,281
PepeMontfort,1062,996
mlegitimo,1338,2357
cmi_saopaulo,3339,260
vancomicina1,285,159
checoalan73,5490,4879
arana123,3487,3754
PerfectoOrtega,194,100
MGIxchiu,774,376
MarcoDigitalRec,265,527
verovaga77,49,74
BARVADERspeleo,1188,1826
NavegadorAntigo,60,192
Xtrematis,196,80
dafosylar,77,359
PaulitaPike,1916,2212
HH_Bernal,52,272
myriam_amparo56,1016,1598
ArturoLovilla,185,593
PortafolioTV,3979,1579
MariaToledoR0,304,20
ArtMusicLife,660,217
marxismo_cl,9289,4426
EstebanRomeroCC,132,299
JMtheHernandez,310,274
mabe_fili,149,335
JA_QV,83,82
Hades_UW_Lord,114,247
Trenxitas,1063,505
EliuttHernandez,68,250
Elguerrero1Luis,393,1534
LFRF,931,997
LucyPerez111,3071,1974
rebot2009,2652,3012
mimexicali,810,1099
HectorLeiter,10723,8510
JlupeGL,140,301
Celygoo,4,70
anacesira,994,1206
portillomr,78,35
BelkotaG,1371,203
AguirresoyJavi,1182,1636
k4rloz_stones,3615,5001
zinue_hernandez,68,188
fedeorchani,2169,1117
DanielR03510139,18,240
Chavaciudadano,732,876
dsideral,167,464
pedroramirez17,270,391
triplex41,323,377
carlosabel2010,1144,2073
jkarlem27,55,166
Alberto05091695,181,308
SYG__Es,17,78
Isaacgarciav,1057,3247
mdgre2002,23268,17820
ecochran1967,55,193
TorressMariano,28,78
anylauz,284,622
azorrilladita,785,105
armandorp19,50,76
landaicio,1300,1426
ElInformanteMX,151712,146862
gap_072,923,967
luiscarlosrl,1611,2189
jakkk01,26,40
lalohdeza,2560,2578
AC_NO_MAS_AFP,1455,3044
raulcemac,286,297
MagdaMmgn56,311,736
idea_tweet,553,797
perodh,135,360
jesicazermeno,3108,1467
FUERZA_MORENA,35378,795
seguidoradenoti,2492,1775
chelsyfdez,74,354
RojasGenarors,686,835
MxGansito,1038,2058
Rendijas,2148,319
LeoSchwebel,27367,194
VaniaPigeonutt,1048,671
carrero_eugenia,53,118
carlos71cruz,180,425
edwinmaurice,432,584
YoveoMContreras,28,197
Luis_diazdeleon,2598,2713
chelino8023,67,559
LluviaPixley,2928,1755
SilverTheCollie,968,286
_erre_te,67,113
HattaDeutsch,305,327
josv13,49,109
ajanettec,62,115
ramnayba,274,1339
MexSigueme,249,75
Jacob_Peralta,1564,682
barcadh,245,81
viovisa,2592,1933
monicafbalboa,1673,674
Mx_Diputados,164124,998
paillawen,2056,1287
Hechtor_H,210,56
guzmanmadre,5176,3301
sarai_de_robles,6,80
talivan91,40,266
ChanneKe_,1405,1796
avril_prez,1991,1891
cuquismendezgui,349,1603
RAFAELROMERO555,157,133
elantichairos,1538,1102
vision3601,359,432
kaninamms,493,984
EstadoNoticias,521,3268
mdjvillarroel,390,722
rossanareguillo,10004,2353
JNelsonE,9591,10283
Vimeo,226451,268
gcastroibarra,2054,1824
Diana85480227,2375,2824
VillegasJau,25,102
will6942,15514,16919
vmazc,105,474
